name,sex,age,height,weight,country,sport
Chiara Tabani,F,21.0,176.0,72.0,Italy,Water Polo
Elif Jale Yeilrmak,F,30.0,164.0,58.0,Turkey,Wrestling
Marcelo Antonio Pereira Rodrguez,M,21.0,181.0,70.0,Honduras,Football
Josue Deprez,M,34.0,,,Haiti,Judo
Yirisleydi Lisbet Ford Carnonell,F,24.0,168.0,66.0,Cuba,Athletics
Stephanie Vogt,F,26.0,165.0,63.0,Liechtenstein,Tennis
Ciara Mageean,F,24.0,170.0,55.0,Ireland,Athletics
Cynthia Vanessa Vescan,F,24.0,170.0,74.0,France,Wrestling
Katsuyuki Tanamura,M,27.0,184.0,84.0,Japan,Water Polo
Daigo Hasegawa,M,26.0,173.0,58.0,Japan,Athletics
Daniyar Maratovich Yeleusinov,M,25.0,178.0,64.0,Kazakhstan,Boxing
"Daniel James ""Dan"" Norton",M,28.0,180.0,85.0,UK,Rugby Sevens
Paraskevi Papakhristou,F,27.0,170.0,53.0,Greece,Athletics
Iago Lpez Marra,M,26.0,181.0,81.0,Spain,Sailing
Federico Gastn Fernndez,M,26.0,191.0,88.0,Argentina,Handball
Jasmine Henrietta Pereira,F,20.0,168.0,66.0,New Zealand,Football
Pascal Plamondon,M,23.0,171.0,87.0,Canada,Weightlifting
Csar Augusto Oliveira de Almeida,M,27.0,188.0,98.0,Brazil,Handball
Manila Flamini,F,28.0,167.0,60.0,Italy,Synchronized Swimming
Le Huilin,F,27.0,172.0,62.0,China,Fencing
Chou Tien-Chen,M,26.0,180.0,78.0,Taiwan,Badminton
Mattia Camboni,M,20.0,180.0,70.0,Italy,Sailing
Marta Rostoburova,F,20.0,163.0,56.0,Uzbekistan,Rhythmic Gymnastics
Sebastian William Gregory Rodger,M,25.0,180.0,68.0,UK,Athletics
Vasily Aleksandrovich Mosin,M,44.0,180.0,82.0,Russia,Shooting
Frida Andersn,F,26.0,164.0,67.0,Sweden,Equestrianism
Sheila Makoto,F,26.0,158.0,59.0,Zimbabwe,Football
Moacir Zimmermann,M,32.0,184.0,70.0,Brazil,Athletics
Marina Vukevi-Raji,F,22.0,175.0,70.0,Montenegro,Handball
Ruana Nurjowowa,F,22.0,165.0,57.0,Turkmenistan,Judo
Svetlana Aleksandrovna Kuznetsova,F,31.0,174.0,73.0,Russia,Tennis
Allan Lopes Mamdio do Carmo,M,27.0,174.0,73.0,Brazil,Swimming
Shakhboz Kholmurzayev,M,20.0,188.0,78.0,Uzbekistan,Rowing
Thiago Bomfim Campos Dantas,M,25.0,193.0,84.0,Brazil,Hockey
Julia Catherine Vincent,F,21.0,154.0,57.0,South Africa,Diving
Karel Lavick,M,30.0,192.0,80.0,Czech Republic,Sailing
Mohamed Badawy,M,30.0,195.0,91.0,Egypt,Volleyball
"Nicholas ""Nick"" Delpopolo",M,27.0,173.0,77.0,USA,Judo
Isabel Marques Swan,F,32.0,181.0,69.0,Brazil,Sailing
Yu Qian,F,24.0,166.0,55.0,China,Hockey
Aleksandra Kruni,F,23.0,167.0,53.0,Serbia,Tennis
Bart Deurloo,M,25.0,170.0,65.0,Netherlands,Gymnastics
Lee Dae-Hun,M,24.0,183.0,70.0,South Korea,Taekwondo
Aleksandr Gennadiyevich Yemelyanov,M,32.0,184.0,97.0,Kazakhstan,Canoeing
Huang Sijing,F,20.0,190.0,82.0,China,Basketball
"Richard John Edward ""Richie"" Patterson",M,33.0,167.0,85.0,New Zealand,Weightlifting
Martin Hner,M,27.0,184.0,83.0,Germany,Hockey
Nery Antonio Brenes Crdenas,M,30.0,175.0,70.0,Costa Rica,Athletics
Folau Moeloa Niua,M,31.0,183.0,89.0,USA,Rugby Sevens
Ababel Yeshaneh Birhane,F,25.0,165.0,54.0,Ethiopia,Athletics
Senbere Teferi,F,21.0,168.0,52.0,Ethiopia,Athletics
Lauren Smith,F,24.0,170.0,,UK,Badminton
Alessandro Velotto,M,21.0,186.0,85.0,Italy,Water Polo
Dionysios Angelopoulos,M,23.0,189.0,91.0,Greece,Rowing
Radek tpnek,M,37.0,186.0,79.0,Czech Republic,Tennis
Sara Errani,F,29.0,164.0,58.0,Italy,Tennis
Laura Oprea,F,22.0,186.0,75.0,Romania,Rowing
Edna Guadalupe Carrillo Torres,F,24.0,185.0,78.0,Mexico,Judo
Dina Lebo Phalula,F,32.0,165.0,46.0,South Africa,Athletics
Felipe Anderson Perieira Gomes,M,23.0,178.0,66.0,Brazil,Football
Hassan Ayanleh Souleiman,M,23.0,190.0,55.0,Djibouti,Athletics
Ana Zaninovi,F,29.0,172.0,55.0,Croatia,Taekwondo
Yassine Al-Trabelsi,M,26.0,185.0,63.0,Tunisia,Taekwondo
Rose Thomas,F,27.0,163.0,66.0,France,Rugby Sevens
Casper Ulrich Mortensen,M,26.0,190.0,88.0,Denmark,Handball
Yu Won-Cheol,M,32.0,165.0,59.0,South Korea,Gymnastics
Mukhamadmurod Abdurakhmonov,M,29.0,192.0,117.0,Tajikistan,Judo
Kersten Thiele,M,23.0,179.0,75.0,Germany,Cycling
Thorine Christelle Aboa Mbeza,F,23.0,182.0,78.0,Cameroon,Volleyball
Piotr Maachowski,M,33.0,193.0,130.0,Poland,Athletics
Mahaman Smaila,M,30.0,178.0,64.0,Cameroon,Boxing
Lucie Svcen,F,18.0,175.0,60.0,Czech Republic,Swimming
Pezhman Ghalehnoei,M,24.0,190.0,96.0,Iran,Athletics
Antonio Fernndez Fernndez,M,25.0,184.0,76.0,Spain,Archery
Paul Adams,M,24.0,185.0,98.0,Australia,Shooting
Ou Zixia,F,20.0,168.0,61.0,China,Hockey
Nicole van der Velden,F,21.0,168.0,62.0,Aruba,Sailing
Maria Vitalyevna Verchenova (-Balikoeva-),F,30.0,175.0,64.0,Russia,Golf
Yona Knight-Wisdom,M,21.0,188.0,87.0,Jamaica,Diving
Jos Manuel Caldern Borrallo,M,34.0,191.0,90.0,Spain,Basketball
